id,ngay,giai_1,giai_2,giai_3,giai_4,giai_5,giai_6,giai_7,thu,giai_db
1,2025-03-30,32409,"15908, 06416","75283, 30643, 80758, 44780, 90000, 59349","7122, 0566, 8891, 2659","4325, 2582, 7009, 5643, 4215, 1479","381, 872, 548","25, 58, 85, 66",Chủ nhật,80716
2,2025-03-31,81167,"47695, 84725","05263, 60101, 20498, 75273, 12491, 82219","4966, 4484, 0217, 4239","8857, 2298, 2243, 3618, 2447, 9836","451, 827, 547","06, 96, 43, 67",Thứ hai,97315
3,2025-04-01,03039,"09983, 61824","34313, 26081, 14153, 94015, 53335, 70889","2662, 5431, 1297, 0572","1806, 8998, 9678, 0688, 8849, 3281","552, 429, 121","25, 90, 33, 65",Thứ ba,13371
4,2025-04-06,55356,"64985, 40310","01946, 39260, 95906, 45810, 77966, 36593","3751, 0965, 2149, 0312","9302, 8481, 0785, 3709, 4590, 3381","395, 603, 140","52, 97, 72, 27",Chủ nhật,99779
5,2025-04-07,48340,"77981, 34283","25198, 28417, 98555, 35125, 75915, 49548","5721, 6167, 3394, 9807","0075, 2558, 0449, 5144, 4297, 7563","916, 246, 131","15, 53, 13, 45",Thứ hai,11965
6,2025-04-08,92460,"94309, 80339","38673, 19343, 39875, 39135, 73331, 37241","3565, 8493, 0599, 1906","5105, 4903, 3889, 2398, 0932, 4145","925, 792, 328","09, 49, 47, 62",Thứ ba,85584
7,2025-04-13,29079,"88928, 66303","62213, 92082, 78387, 48930, 97552, 87768","9010, 2734, 0343, 4768","3052, 8811, 9167, 3996, 6187, 0523","947, 881, 657","70, 04, 07, 92",Chủ nhật,67860
8,2025-04-14,76071,"08866, 77999","28854, 16105, 81240, 42422, 16899, 38673","2965, 5032, 6805, 8755","7669, 6117, 1605, 0743, 6632, 8420","025, 442, 188","74, 03, 68, 19",Thứ hai,46935
9,2025-04-15,91676,"18319, 83976","27319, 12559, 62205, 97157, 55577, 32890","8955, 3111, 2148, 7486","2900, 8986, 5018, 8671, 5358, 8858","209, 904, 079","37, 35, 91, 00",Thứ ba,68908
10,2025-04-20,35550,"60460, 92338","38226, 30643, 82953, 96627, 24267, 07143","5157, 6348, 6294, 2944","4308, 0054, 9700, 2192, 0093, 4250","120, 953, 787","54, 15, 87, 00",Chủ nhật,24692
11,2025-04-21,76418,"31723, 37024","43406, 83752, 69055, 95844, 79164, 64179","3982, 4919, 7233, 1669","8706, 2381, 0059, 5539, 4060, 0756","292, 744, 224","49, 50, 83, 76",Thứ hai,74906
12,2025-04-22,96558,"64443, 06818","36524, 88678, 73931, 60844, 69849, 79878","3579, 0956, 2232, 9796","5292, 1643, 4774, 4139, 8077, 5796","766, 898, 245","05, 62, 09, 54",Thứ ba,95609
13,2025-04-27,23908,"68161, 95882","10322, 23315, 74907, 40681, 14048, 96963","9732, 3557, 2298, 8543","2038, 5749, 1173, 9149, 1304, 3284","386, 210, 833","57, 48, 49, 28",Chủ nhật,27368
14,2025-03-29,53965,"39937, 64731","11267, 95253, 18563, 74291, 44688, 16813","3280, 7200, 1742, 7543","4363, 2283, 6676, 8771, 8225, 6371","098, 704, 712","09, 10, 76, 56",Thứ bảy     ,09761
